name,source,gender,wikidata,type
"Rue Pierre et Marie Curie",wikidata,+,Q37463;Q7186,relation
"Allée Charles Coyac",wikidata,-,Q125849236,way
"Allée Eugénie Grandet",wikidata,-,Q1373644;Q3060265,relation
"Allée Mathias Sandorf",wikidata,-,Q645024,relation
"Allée Willy Pelletier",wikidata,-,Q125926277,way
"Allée d'Erdre",wikidata,-,Q1349493,relation
"Allée d'Orléans",wikidata,-,Q16303621;Q6548,relation+way
"Allée d'Oslo",wikidata,-,Q585,way
"Allée de Bannalec",wikidata,-,Q318227,relation
"Allée de Bénodet",wikidata,-,Q329911,relation
"Allée de Fouesnant",wikidata,-,Q245149,relation
"Allée de Loctudy",wikidata,-,Q383352,relation
"Allée de Nossi-Bé",wikidata,-,Q1330558,relation
"Allée de Portricq",wikidata,-,Q24936825,relation
"Allée de Tuamotou",wikidata,-,Q183963,relation
"Allée de l'Aube",wikidata,-,Q11326182,relation
"Allée de l'Enfance",wikidata,-,Q276258,relation
"Allée de l'Île Gloriette",wikidata,-,Q3593081,relation
"Allée de l'Indre",wikidata,-,Q12553,way
"Allée de l’Agrion-Gracieux",wikidata,-,Q1029095,way
"Allée de la Bourse",wikidata,-,Q767657,way
"Allée de la Cigarière",wikidata,-,Q124070617,way
"Allée de la Gallinule",wikidata,-,Q18847,way
"Allée de la Guadeloupe",wikidata,-,Q3118683,relation
"Allée de la Martinique",wikidata,-,Q17054,relation
"Allée de la Nive",wikidata,-,Q974519,relation
"Allée de la Réunion",wikidata,-,Q17070,relation
"Allée des Alizés",wikidata,-,Q160603,relation
"Allée des Cerisiers",wikidata,-,Q2946681,relation
"Allée des Crocus",wikidata,-,Q157806,relation
"Allée des Cytises",wikidata,-,Q157226,relation
"Allée des Filaos",wikidata,-,Q135346,relation
"Allée des Généraux Patton et Wood",wikidata,-,Q16303612,way
"Allée des Glaïeuls",wikidata,-,Q156207,relation
"Allée des Hippocampes",wikidata,-,Q74363,relation
"Allée des Îles Gambier",wikidata,-,Q504043,relation
"Allée des Îles Loyauté",wikidata,-,Q913470,relation
"Allée des Îles Marquise",wikidata,-,Q172697,relation
"Allée des Jasmins",wikidata,-,Q82014,relation
"Allée des Nouvelles Hébrides",wikidata,-,Q19399831,way
"Allée des Peupliers",wikidata,-,Q25356,relation
"Allée des Pinsons",wikidata,-,Q30241,relation
"Allée des Roitelets",wikidata,-,Q6473112,relation+way
"Allée des Tamariniers",wikidata,-,Q80235,relation
"Allée des Vétivers",wikidata,-,Q1877566,relation
"Allée du Cher",wikidata,-,Q213503,way
"Allée du Crépuscule",wikidata,-,Q164160,relation
"Allée du Héron",wikidata,-,Q3259077,way
"Avenue Camus",wikidata,-,Q34670;Q1549283,relation
"Avenue Saint-Félix",wikidata,-,Q3581497,relation
"Avenue Saint-Goazec",wikidata,-,Q622461,relation
"Avenue Saint-Pol de Léon",wikidata,-,Q239908,relation
"Avenue d'Auray",wikidata,-,Q62958,relation
"Avenue d'Hestia",wikidata,-,Q41419,relation
"Avenue d'Hoëdic",wikidata,-,Q71028,relation
"Avenue d'Ouessant",wikidata,-,Q202378,relation
"Avenue de Bayonne",wikidata,-,Q134674,relation
"Avenue de Bourgogne",wikidata,-,Q1173,relation
"Avenue de Brocéliande",wikidata,-,Q2925919,relation
"Avenue de Corinthe",wikidata,-,Q103011,relation
"Avenue de Delphes",wikidata,-,Q75459,relation
"Avenue de France",wikidata,-,Q142,relation
"Avenue de Galice",wikidata,-,Q3908,relation
"Avenue de Gourin",wikidata,-,Q71216,relation
"Avenue de Josselin",wikidata,-,Q71500,relation
"Avenue de Landevennec",wikidata,-,Q193530,relation
"Avenue de Lausanne",wikidata,-,Q807,relation
"Avenue de Locmariaquer",wikidata,-,Q71657,relation
"Avenue de Locronan",wikidata,-,Q272369,relation
"Avenue de Marvejols",wikidata,-,Q457631,relation
"Avenue de Navarre",wikidata,-,Q4018,relation
"Avenue de Normandie",wikidata,-,Q15878,relation
"Avenue de Paimpont",wikidata,-,Q152741,relation
"Avenue de Plougastel",wikidata,-,Q383277,relation
"Avenue de Rome",wikidata,-,Q220,relation
"Avenue de Salonique",wikidata,-,Q17151,relation
"Avenue de Suroît",wikidata,-,Q1703524,relation
"Avenue de Tahiti",wikidata,-,Q42000,relation
"Avenue de Versailles",wikidata,-,Q621,relation
"Avenue de Wattignies",wikidata,-,Q1059732,relation
"Avenue de l'Aigue Marine",wikidata,-,Q58959,relation
"Avenue de l'Albatros",wikidata,-,Q55805,relation
"Avenue de l'Amphibolite",wikidata,-,Q335239,relation
"Avenue de l'Astérie",wikidata,-,Q25349,relation
"Avenue de l'Aumônerie",wikidata,-,Q15548045,relation
"Avenue de l'Aurore",wikidata,-,Q164160,relation
"Avenue de l'Engoulevent",wikidata,-,Q27244,relation
"Avenue de l'Étoile de Mer",wikidata,-,Q25349,relation
"Avenue de l'Éveil",wikidata,-,Q46,relation
"Avenue de l'Everest",wikidata,-,Q513,relation
"Avenue de l'Hermine",wikidata,-,Q25345,relation
"Avenue de l'Horticulture",wikidata,-,Q48803,relation
"Avenue de l'Hôtel Dieu",wikidata,-,Q3145385,relation
"Avenue de l'Île de Groix",wikidata,-,Q3593372,relation
"Avenue de l'Omnibus",wikidata,-,Q5638,relation
"Avenue de la Calypso",wikidata,-,Q20680793,relation+way
"Avenue de la Côte d'Or",wikidata,-,Q3342,relation
"Avenue de la Gare de Legé",wikidata,-,Q28040814,relation
"Avenue de la Gare de Saint-Joseph",wikidata,-,Q18908017,relation
"Avenue de la Giroflée",wikidata,-,Q27961,relation
"Avenue de la Grande Ourse",wikidata,-,Q8918,relation
"Avenue de la Paix",wikidata,-,Q454,relation
"Avenue de la Salamandre",wikidata,-,Q3469592,relation
"Avenue des Acacias",wikidata,-,Q81666,relation
"Avenue des Ajoncs",wikidata,-,Q393278,relation
"Avenue des Algues",wikidata,-,Q37868,relation
"Avenue des Alouettes",wikidata,-,Q2839337;Q29858,relation+way
"Avenue des Alpagas",wikidata,-,Q81564,relation
"Avenue des Amandiers",wikidata,-,Q39918,relation
"Avenue des Amaryllis",wikidata,-,Q161577,relation
"Avenue des Améthystes",wikidata,-,Q79058,relation
"Avenue des Antilopes",wikidata,-,Q1416078,relation
"Avenue des Bouleaux",wikidata,-,Q25243,relation
"Avenue des Chèvrefeuilles",wikidata,-,Q156047,relation
"Avenue des Clavecins",wikidata,-,Q81982,relation
"Avenue des Coquelicots",wikidata,-,Q130201,relation
"Avenue des Dalmatiens",wikidata,-,Q17504,relation
"Avenue des Danois",wikidata,-,Q5414,relation
"Avenue des Druides",wikidata,-,Q131081,relation
"Avenue des Épagneuls",wikidata,-,Q39115,relation
"Avenue des Épicéas",wikidata,-,Q26782,relation
"Avenue des Fées",wikidata,-,Q8028,relation
