name,source,gender,wikidata,type
"Allée Anne Pageau",,,,way
"Allée Antoinette Fouque",,,,way
"Allée Barbara Ward",,,,way
"Allée Beau Rivage",,,,relation
"Allée Berty Albrecht",,,,relation
"Allée Brulebois",,,,relation
"Allée Constance Gallot",,,,way
"Allée Docteur Émile Meeus",,,,relation
"Allée Federica Montseny",,,,relation
"Allée Fernand Potiron",,,,way
"Allée Françoise Héritier",,,,relation
"Allée Galatée",,,,relation
"Allée Germaine Dulac",,,,way
"Allée Helen Suzman",,,,way
"Allée Isabelle Eberhardt",,,,way
"Allée Isadora Duncan",,,,way
"Allée Jacqueline Félicie De Almania",,,,relation
"Allée Jacqueline Maillan",,,,relation
"Allée Jacqueline de Romilly",,,,relation
"Allée Jacques Carrère",,,,way
"Allée Jean Relet",,,,way
"Allée Jeanne Loiseau",,,,way
"Allée Joséphine Baker",,,,way
"Allée Laure Diebold",,,,way
"Allée Loïe Fuller",,,,way
"Allée Louise Farrenc",,,,way
"Allée Lucie Randouin",,,,way
"Allée Lucy Stone",,,,relation
"Allée Marcelle Henry",,,,way
"Allée Marguerite et André Lermite",,,,way
"Allée Maria Sybella Merjan",,,,way
"Allée Maria Vérone",,,,relation+way
"Allée Marie Hackin",,,,way
"Allée Marie Paradis",,,,relation+way
"Allée Marie-Andrée Lagroua Weill-Hallé",,,,relation
"Allée Marie-Louise Chevrel-Bodin",,,,relation
"Allée Marthe Condat",,,,relation
"Allée Maudy Piot",,,,way
"Allée Michel Chaillou",,,,relation
"Allée Michel Friot",,,,way
"Allée Micheline Ostermeyer",,,,relation
"Allée René Dubos",,,,way
"Allée Renée Losq",,,,way
"Allée Richemont",,,,relation
"Allée Suzanne Citron",,,,relation
"Allée Suzanne Valadon",,,,way
"Allée Victor Deshayes",,,,relation
"Allée Villanova",,,,relation
"Allée Yves Cosson",,,,relation
"Allée Yves Laurent",,,,way
"Allée de Villebon",,,,relation
"Allée de l'Ancienne Usine Électrique",,,,relation+way
"Allée de l'Embellie",,,,relation+way
"Allée de l'Île Tabor",,,,relation
"Allée de l'Orée du Millau",,,,relation
"Allée de la Bora",,,,relation
"Allée de la Bouscarle de Cetti",,,,relation
"Allée de la Brise",,,,relation
"Allée de la Cité",,,,relation
"Allée de la Civelière",,,,relation+way
"Allée de la Corolle",,,,way
"Allée de la Demi-Lune",,,,relation
"Allée de la Drève",,,,way
"Allée de la Ferronerie",,,,way
"Allée de la Maison Rouge",,,,relation+way
"Allée de la Persagotière",,,,way
"Allée de la Renaudière",,,,relation+way
"Allée de la Roseraie",,,,way
"Allée de la Tremperie",,,,relation
"Allée des 4 Jeudis",,,,relation+way
"Allée des Abeilles",,,,way
"Allée des Bouvreuils",,,,relation
"Allée des Citronniers",,,,relation
"Allée des Cormorans",,,,relation
"Allée des Cosmos",,,,relation
"Allée des Grands-Chênes",,,,way
"Allée des Hélices",,,,relation
"Allée des Lavandes",,,,relation
"Allée des Lis",,,,way
"Allée des Muses",,,,relation
"Allée des Neuf Preuses",,,,relation
"Allée des Oblates",,,,way
"Allée des Passiflores",,,,relation
"Allée des Pensées",,,,relation
"Allée des Romarins",,,,relation
"Allée des Sœurs de l'Espérance",,,,way
"Allée des Soupirs",,,,way
"Allée des Tanneurs",,,,relation
"Allée des Vieux Tilleuls",,,,relation
"Allée des Vinaigriers",,,,relation
"Allée du Bourg Fumé",,,,relation
"Allée du Colvert",,,,relation
"Allée du Gois",,,,way
"Allée du Nautilus",,,,relation
"Allée du Sans Souci",,,,relation
"Allée du Seil de Mauves",,,,way
"Allée du Zéphir",,,,relation
"Avenue Alice Milliat",,,,way
"Avenue Antarès",,,,relation
"Avenue Ariane",,,,relation
"Avenue Artémis",,,,relation
"Avenue Bascher",,,,relation
"Avenue Beauger",,,,relation
"Avenue Béranger",,,,relation
"Avenue Bodinier",,,,relation
"Avenue Bon Accueil",,,,relation+way
"Avenue Bonnet",,,,relation
"Avenue Caillé",,,,relation
"Avenue Castellano",,,,relation
"Avenue Chantepie",,,,relation
"Avenue Charles Couchoud",,,,relation
"Avenue Charles Gris",,,,relation
"Avenue Charles Jégou",,,,relation
"Avenue Chauveau",,,,relation
"Avenue Christine de Pisan",,,,relation
"Avenue Commandant Henri Charbonnier",,,,relation
"Avenue Cottineau",,,,relation
"Avenue Docteur Roux",,,,relation
"Avenue Émile Matignon",,,,relation
"Avenue Enklays",,,,relation
"Avenue Eugène Harel",,,,relation
"Avenue Fabre d'Églantine",,,,relation
"Avenue Flora Tristan",,,,relation
"Avenue Francis Athimon",,,,relation
"Avenue Gergaud",,,,relation
"Avenue Germaine Sablon",,,,relation
"Avenue Gilard",,,,relation
"Avenue Gouleau",,,,way
"Avenue Guillemet",,,,relation
"Avenue Guillon",,,,relation
"Avenue Halgan",,,,relation
"Avenue Hélène Viannay",,,,way
"Avenue Henri Ollivier",,,,relation
"Avenue Jacques Auneau",,,,relation
"Avenue Jacques Lambert",,,,relation
"Avenue Jany",,,,relation
"Avenue Jean Paty",,,,relation
"Avenue Jean-Baptiste Perrin",,,,relation
"Avenue Jean-Claude Bonduelle",,,,relation
"Avenue Joseph Barreau",,,,relation
"Avenue Joseph Ravanel",,,,relation
"Avenue Joséphine Pencalet",,,,relation
"Avenue Jules Bécigneul",,,,relation
"Avenue Junon",,,,relation
"Avenue Kerfontaine",,,,relation
"Avenue Lagardère",,,,relation
"Avenue Lieutenant Chapus",,,,relation
"Avenue Lieutenant de Lavenne de la Montoise",,,,relation+way
"Avenue Lotz Cossé",,,,relation
"Avenue Louise",,,,relation
"Avenue Ludovic Cormerais",,,,relation+way
"Avenue Mabileau",,,,relation
"Avenue Maisdon Thomaré",,,,relation
"Avenue Manon",,,,relation
"Avenue Marcel Thil",,,,relation
"Avenue Marie Biton Caillé",,,,way
"Avenue Marie Manuel",,,,relation
"Avenue Marie-Antoinette Tonnelat",,,,way
"Avenue Maurice Clétras",,,,relation
"Avenue Mélusine",,,,relation
"Avenue Mich",,,,relation
"Avenue Michel Lecointre",,,,relation
"Avenue Michel Lecour Grandmaison",,,,relation
"Avenue Millet",,,,relation
"Avenue Mon Repos",,,,relation
"Avenue Morinet",,,,relation
"Avenue Noël",,,,relation
"Avenue Océane",,,,relation
"Avenue Olga Chalon",,,,relation
"Avenue Pacaud",,,,relation
"Avenue Pacioli",,,,relation
"Avenue Pajot",,,,relation
"Avenue Pelletier-Doisy",,,,relation
"Avenue Peneau",,,,relation
"Avenue Père Bretaudeau",,,,relation
"Avenue Petit Breton",,,,relation
"Avenue Praud",,,,relation
"Avenue Président Joseph Bouyer",,,,relation
"Avenue Raymonde Chauvet",,,,way
"Avenue Recteur Pironneau",,,,relation
"Avenue Richelieu",,,,relation
"Avenue Sagamore",,,,relation
"Avenue Saint-Georges",,,,relation
"Avenue Saint-Martin",,,,relation
"Avenue Saint-Mélaine",,,,relation
"Avenue Saint-Michel",,,,relation
"Avenue Saint-Thomas",,,,relation
"Avenue Sainte-Anne",,,,relation
"Avenue Sauvaget",,,,relation
"Avenue Telstar",,,,relation
"Avenue Thébaud",,,,way
"Avenue Thérèse Debrabant",,,,way
"Avenue Villeneuve La Lande",,,,relation
"Avenue Violain",,,,relation
"Avenue Violette Maurice",,,,relation
"Avenue Watel de Haynin",,,,relation
"Avenue d'Albion",,,,relation
"Avenue d'Alden Park",,,,relation
"Avenue d'Armor",,,,relation
"Avenue d'Assas",,,,relation
"Avenue d'Assise",,,,relation
"Avenue d'Avalon",,,,relation
"Avenue d'Orsay",,,,relation+way
"Avenue de Beauséjour",,,,relation
"Avenue de Bressaut",,,,relation
"Avenue de Cierzay",,,,relation
"Avenue de Corfou",,,,relation
"Avenue de Doëlan",,,,relation
"Avenue de Frémeur",,,,relation
"Avenue de Kerdonis",,,,relation
"Avenue de Kurun",,,,relation
"Avenue de Lusançay",,,,relation
